time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,ts
20200101:0030,0.0,0.0,0.0,-4.4,12.45,1.45,0.0,2020-01-01 00:30:00+00:00
20200101:0130,54.6,42.1,0.0,8.0,12.02,1.38,0.0,2020-01-01 01:30:00+00:00
20200101:0230,204.86,83.85,0.0,19.57,13.77,1.1,0.0,2020-01-01 02:30:00+00:00
20200101:0330,364.26,108.4,0.0,29.85,18.2,1.66,0.0,2020-01-01 03:30:00+00:00
20200101:0430,464.71,113.65,0.0,38.03,20.84,1.86,0.0,2020-01-01 04:30:00+00:00
20200101:0530,552.01,130.35,0.0,43.0,22.61,2.0,0.0,2020-01-01 05:30:00+00:00
20200101:0630,536.61,120.15,0.0,43.72,23.57,1.79,0.0,2020-01-01 06:30:00+00:00
20200101:0730,484.81,121.0,0.0,39.99,24.13,2.0,0.0,2020-01-01 07:30:00+00:00
20200101:0830,397.81,110.8,0.0,32.69,24.47,1.86,0.0,2020-01-01 08:30:00+00:00
20200101:0930,241.61,86.55,0.0,22.97,24.56,1.66,0.0,2020-01-01 09:30:00+00:00
20200101:1030,83.3,55.15,0.0,11.73,24.27,1.86,0.0,2020-01-01 10:30:00+00:00
20200101:1130,0.0,0.0,0.0,-0.44,23.2,1.59,0.0,2020-01-01 11:30:00+00:00
20200101:1230,0.0,0.0,0.0,0.0,21.65,1.93,0.0,2020-01-01 12:30:00+00:00
20200101:1330,0.0,0.0,0.0,0.0,20.1,1.79,0.0,2020-01-01 13:30:00+00:00
20200101:1430,0.0,0.0,0.0,0.0,18.76,1.72,0.0,2020-01-01 14:30:00+00:00
20200101:1530,0.0,0.0,0.0,0.0,17.7,1.79,0.0,2020-01-01 15:30:00+00:00
20200101:1630,0.0,0.0,0.0,0.0,16.9,2.0,0.0,2020-01-01 16:30:00+00:00
20200101:1730,0.0,0.0,0.0,0.0,16.44,2.28,0.0,2020-01-01 17:30:00+00:00
20200101:1830,0.0,0.0,0.0,0.0,16.25,2.41,0.0,2020-01-01 18:30:00+00:00
20200101:1930,0.0,0.0,0.0,0.0,16.38,2.28,0.0,2020-01-01 19:30:00+00:00
20200101:2030,0.0,0.0,0.0,0.0,16.14,2.21,0.0,2020-01-01 20:30:00+00:00
20200101:2130,0.0,0.0,0.0,0.0,15.83,2.07,0.0,2020-01-01 21:30:00+00:00
20200101:2230,0.0,0.0,0.0,0.0,15.79,1.86,0.0,2020-01-01 22:30:00+00:00
20200101:2330,0.0,0.0,0.0,0.0,15.51,1.86,0.0,2020-01-01 23:30:00+00:00
20200102:0030,0.0,0.0,0.0,-4.46,15.32,1.86,0.0,2020-01-02 00:30:00+00:00
20200102:0130,37.65,47.1,0.0,7.95,15.24,1.86,0.0,2020-01-02 01:30:00+00:00
20200102:0230,162.0,99.45,0.0,19.54,16.29,1.72,0.0,2020-01-02 02:30:00+00:00
20200102:0330,327.86,120.25,0.0,29.84,18.9,2.14,0.0,2020-01-02 03:30:00+00:00
20200102:0430,462.71,124.3,0.0,38.05,21.35,2.21,0.0,2020-01-02 04:30:00+00:00
20200102:0530,505.51,138.2,0.0,43.07,23.39,2.07,0.0,2020-01-02 05:30:00+00:00
20200102:0630,510.81,150.7,0.0,43.82,24.69,1.93,0.0,2020-01-02 06:30:00+00:00
20200102:0730,360.86,135.1,0.0,40.11,25.27,1.38,0.0,2020-01-02 07:30:00+00:00
20200102:0830,285.36,123.7,0.0,32.82,25.53,1.31,0.0,2020-01-02 08:30:00+00:00
20200102:0930,195.81,100.5,0.0,23.1,25.55,1.24,0.0,2020-01-02 09:30:00+00:00
20200102:1030,77.8,53.9,0.0,11.87,25.36,1.17,0.0,2020-01-02 10:30:00+00:00
20200102:1130,0.0,0.0,0.0,-0.31,24.56,0.69,0.0,2020-01-02 11:30:00+00:00
20200102:1230,0.0,0.0,0.0,0.0,22.8,0.83,0.0,2020-01-02 12:30:00+00:00
20200102:1330,0.0,0.0,0.0,0.0,20.78,1.03,0.0,2020-01-02 13:30:00+00:00
20200102:1430,0.0,0.0,0.0,0.0,19.8,1.1,0.0,2020-01-02 14:30:00+00:00
20200102:1530,0.0,0.0,0.0,0.0,19.63,0.83,0.0,2020-01-02 15:30:00+00:00
20200102:1630,0.0,0.0,0.0,0.0,17.96,1.59,0.0,2020-01-02 16:30:00+00:00
20200102:1730,0.0,0.0,0.0,0.0,18.43,1.86,0.0,2020-01-02 17:30:00+00:00
20200102:1830,0.0,0.0,0.0,0.0,18.43,2.41,0.0,2020-01-02 18:30:00+00:00
20200102:1930,0.0,0.0,0.0,0.0,18.52,2.34,0.0,2020-01-02 19:30:00+00:00
20200102:2030,0.0,0.0,0.0,0.0,18.14,2.34,0.0,2020-01-02 20:30:00+00:00
20200102:2130,0.0,0.0,0.0,0.0,18.06,2.41,0.0,2020-01-02 21:30:00+00:00
20200102:2230,0.0,0.0,0.0,0.0,17.86,2.55,0.0,2020-01-02 22:30:00+00:00
20200102:2330,0.0,0.0,0.0,0.0,17.62,2.83,0.0,2020-01-02 23:30:00+00:00
20200103:0030,0.0,0.0,0.0,-4.52,17.66,3.03,0.0,2020-01-03 00:30:00+00:00
20200103:0130,18.55,33.65,0.0,7.9,17.39,3.03,0.0,2020-01-03 01:30:00+00:00
20200103:0230,37.65,90.95,0.0,19.52,17.7,2.83,0.0,2020-01-03 02:30:00+00:00
20200103:0330,113.4,119.9,0.0,29.84,18.63,3.03,0.0,2020-01-03 03:30:00+00:00
20200103:0430,55.45,197.15,0.0,38.09,19.99,3.66,0.0,2020-01-03 04:30:00+00:00
20200103:0530,21.15,126.8,0.0,43.13,20.75,3.17,0.0,2020-01-03 05:30:00+00:00
20200103:0630,51.75,117.0,0.0,43.92,20.32,2.28,0.0,2020-01-03 06:30:00+00:00
20200103:0730,66.45,119.55,0.0,40.24,19.98,1.79,0.0,2020-01-03 07:30:00+00:00
20200103:0830,10.95,119.45,0.0,32.96,20.01,1.86,0.0,2020-01-03 08:30:00+00:00
20200103:0930,63.15,65.0,0.0,23.24,20.06,1.86,0.0,2020-01-03 09:30:00+00:00
20200103:1030,4.75,25.0,0.0,12.0,20.07,1.31,0.0,2020-01-03 10:30:00+00:00
20200103:1130,0.0,0.0,0.0,-0.18,19.49,1.24,0.0,2020-01-03 11:30:00+00:00
20200103:1230,0.0,0.0,0.0,0.0,18.95,1.31,0.0,2020-01-03 12:30:00+00:00
20200103:1330,0.0,0.0,0.0,0.0,18.39,1.17,0.0,2020-01-03 13:30:00+00:00
20200103:1430,0.0,0.0,0.0,0.0,17.85,1.52,0.0,2020-01-03 14:30:00+00:00
20200103:1530,0.0,0.0,0.0,0.0,17.38,1.66,0.0,2020-01-03 15:30:00+00:00
20200103:1630,0.0,0.0,0.0,0.0,17.08,1.52,0.0,2020-01-03 16:30:00+00:00
20200103:1730,0.0,0.0,0.0,0.0,16.84,1.59,0.0,2020-01-03 17:30:00+00:00
20200103:1830,0.0,0.0,0.0,0.0,16.76,1.66,0.0,2020-01-03 18:30:00+00:00
20200103:1930,0.0,0.0,0.0,0.0,16.91,0.34,0.0,2020-01-03 19:30:00+00:00
20200103:2030,0.0,0.0,0.0,0.0,15.95,1.31,0.0,2020-01-03 20:30:00+00:00
20200103:2130,0.0,0.0,0.0,0.0,15.44,1.59,0.0,2020-01-03 21:30:00+00:00
20200103:2230,0.0,0.0,0.0,0.0,15.31,1.31,0.0,2020-01-03 22:30:00+00:00
20200103:2330,0.0,0.0,0.0,0.0,15.22,1.1,0.0,2020-01-03 23:30:00+00:00
20200104:0030,0.0,0.0,0.0,-4.57,15.29,0.83,0.0,2020-01-04 00:30:00+00:00
20200104:0130,3.55,34.6,0.0,7.87,15.29,0.9,0.0,2020-01-04 01:30:00+00:00
20200104:0230,15.95,104.45,0.0,19.5,16.19,1.52,0.0,2020-01-04 02:30:00+00:00
20200104:0330,114.95,177.65,0.0,29.85,16.79,1.52,0.0,2020-01-04 03:30:00+00:00
20200104:0430,217.75,155.3,0.0,38.12,18.91,1.45,0.0,2020-01-04 04:30:00+00:00
20200104:0530,246.15,172.35,0.0,43.21,20.29,1.31,0.0,2020-01-04 05:30:00+00:00
20200104:0630,165.9,205.5,0.0,44.03,21.16,1.1,0.0,2020-01-04 06:30:00+00:00
20200104:0730,131.45,213.95,0.0,40.37,21.47,0.48,0.0,2020-01-04 07:30:00+00:00
20200104:0830,17.95,141.6,0.0,33.1,21.91,0.34,0.0,2020-01-04 08:30:00+00:00
20200104:0930,31.1,124.55,0.0,23.38,21.81,0.41,0.0,2020-01-04 09:30:00+00:00
20200104:1030,8.75,47.45,0.0,12.14,21.8,0.55,0.0,2020-01-04 10:30:00+00:00
20200104:1130,0.0,0.0,0.0,-0.05,21.4,0.55,0.0,2020-01-04 11:30:00+00:00
20200104:1230,0.0,0.0,0.0,0.0,20.92,0.97,0.0,2020-01-04 12:30:00+00:00
20200104:1330,0.0,0.0,0.0,0.0,20.22,1.24,0.0,2020-01-04 13:30:00+00:00
20200104:1430,0.0,0.0,0.0,0.0,19.6,1.31,0.0,2020-01-04 14:30:00+00:00
20200104:1530,0.0,0.0,0.0,0.0,19.15,1.31,0.0,2020-01-04 15:30:00+00:00
20200104:1630,0.0,0.0,0.0,0.0,18.82,1.24,0.0,2020-01-04 16:30:00+00:00
20200104:1730,0.0,0.0,0.0,0.0,18.53,1.24,0.0,2020-01-04 17:30:00+00:00
20200104:1830,0.0,0.0,0.0,0.0,18.33,1.1,0.0,2020-01-04 18:30:00+00:00
20200104:1930,0.0,0.0,0.0,0.0,16.65,0.83,0.0,2020-01-04 19:30:00+00:00
20200104:2030,0.0,0.0,0.0,0.0,15.92,0.83,0.0,2020-01-04 20:30:00+00:00
20200104:2130,0.0,0.0,0.0,0.0,16.25,0.48,0.0,2020-01-04 21:30:00+00:00
20200104:2230,0.0,0.0,0.0,0.0,16.28,0.41,0.0,2020-01-04 22:30:00+00:00
20200104:2330,0.0,0.0,0.0,0.0,15.53,0.9,0.0,2020-01-04 23:30:00+00:00
20200105:0030,0.0,0.0,0.0,-4.62,15.55,1.17,0.0,2020-01-05 00:30:00+00:00
20200105:0130,3.15,37.25,0.0,7.83,15.93,1.31,0.0,2020-01-05 01:30:00+00:00
20200105:0230,8.25,98.05,0.0,19.48,17.01,1.52,0.0,2020-01-05 02:30:00+00:00
20200105:0330,46.6,115.65,0.0,29.86,17.98,2.14,0.0,2020-01-05 03:30:00+00:00
20200105:0430,50.25,142.0,0.0,38.17,18.56,2.69,0.0,2020-01-05 04:30:00+00:00
20200105:0530,37.7,197.35,0.0,43.29,19.1,2.9,0.0,2020-01-05 05:30:00+00:00
20200105:0630,89.05,244.55,0.0,44.15,19.96,2.76,0.0,2020-01-05 06:30:00+00:00
20200105:0730,184.05,204.9,0.0,40.51,20.71,2.48,0.0,2020-01-05 07:30:00+00:00
20200105:0830,289.11,143.75,0.0,33.25,21.41,2.55,0.0,2020-01-05 08:30:00+00:00
20200105:0930,172.2,100.8,0.0,23.53,21.83,2.76,0.0,2020-01-05 09:30:00+00:00
20200105:1030,53.35,65.25,0.0,12.28,21.58,2.97,0.0,2020-01-05 10:30:00+00:00
20200105:1130,0.0,8.3,0.0,0.09,20.75,2.41,0.0,2020-01-05 11:30:00+00:00
20200105:1230,0.0,0.0,0.0,0.0,19.26,2.0,0.0,2020-01-05 12:30:00+00:00
20200105:1330,0.0,0.0,0.0,0.0,18.17,1.86,0.0,2020-01-05 13:30:00+00:00
20200105:1430,0.0,0.0,0.0,0.0,17.28,1.86,0.0,2020-01-05 14:30:00+00:00
20200105:1530,0.0,0.0,0.0,0.0,16.21,1.79,0.0,2020-01-05 15:30:00+00:00
20200105:1630,0.0,0.0,0.0,0.0,15.11,1.86,0.0,2020-01-05 16:30:00+00:00
20200105:1730,0.0,0.0,0.0,0.0,14.3,1.93,0.0,2020-01-05 17:30:00+00:00
20200105:1830,0.0,0.0,0.0,0.0,13.67,2.07,0.0,2020-01-05 18:30:00+00:00
20200105:1930,0.0,0.0,0.0,0.0,13.15,1.79,0.0,2020-01-05 19:30:00+00:00
20200105:2030,0.0,0.0,0.0,0.0,12.55,1.79,0.0,2020-01-05 20:30:00+00:00
20200105:2130,0.0,0.0,0.0,0.0,12.02,1.72,0.0,2020-01-05 21:30:00+00:00
20200105:2230,0.0,0.0,0.0,0.0,11.61,1.86,0.0,2020-01-05 22:30:00+00:00
20200105:2330,0.0,0.0,0.0,0.0,11.22,1.66,0.0,2020-01-05 23:30:00+00:00
20200106:0030,0.0,0.0,0.0,-4.66,11.04,1.52,0.0,2020-01-06 00:30:00+00:00
20200106:0130,51.5,41.3,0.0,7.8,10.75,1.59,0.0,2020-01-06 01:30:00+00:00
20200106:0230,201.01,84.15,0.0,19.47,13.07,0.83,0.0,2020-01-06 02:30:00+00:00
20200106:0330,366.41,106.35,0.0,29.87,16.71,1.1,0.0,2020-01-06 03:30:00+00:00
20200106:0430,497.11,119.05,0.0,38.22,18.92,1.86,0.0,2020-01-06 04:30:00+00:00
20200106:0530,566.96,128.75,0.0,43.38,20.34,2.76,0.0,2020-01-06 05:30:00+00:00
20200106:0630,452.96,159.05,0.0,44.28,21.14,2.83,0.0,2020-01-06 06:30:00+00:00
20200106:0730,426.16,167.3,0.0,40.66,21.45,2.76,0.0,2020-01-06 07:30:00+00:00
20200106:0830,322.76,142.95,0.0,33.4,21.78,2.97,0.0,2020-01-06 08:30:00+00:00
20200106:0930,229.76,97.2,0.0,23.68,21.68,2.97,0.0,2020-01-06 09:30:00+00:00
20200106:1030,82.95,62.6,0.0,12.43,21.28,2.69,0.0,2020-01-06 10:30:00+00:00
20200106:1130,0.0,7.85,0.0,0.23,20.2,1.93,0.0,2020-01-06 11:30:00+00:00
20200106:1230,0.0,0.0,0.0,0.0,18.54,2.14,0.0,2020-01-06 12:30:00+00:00
20200106:1330,0.0,0.0,0.0,0.0,17.26,2.14,0.0,2020-01-06 13:30:00+00:00
20200106:1430,0.0,0.0,0.0,0.0,16.3,2.14,0.0,2020-01-06 14:30:00+00:00
20200106:1530,0.0,0.0,0.0,0.0,15.52,2.07,0.0,2020-01-06 15:30:00+00:00
20200106:1630,0.0,0.0,0.0,0.0,14.85,2.07,0.0,2020-01-06 16:30:00+00:00
20200106:1730,0.0,0.0,0.0,0.0,14.3,2.07,0.0,2020-01-06 17:30:00+00:00
20200106:1830,0.0,0.0,0.0,0.0,13.82,2.0,0.0,2020-01-06 18:30:00+00:00
20200106:1930,0.0,0.0,0.0,0.0,13.32,2.0,0.0,2020-01-06 19:30:00+00:00
20200106:2030,0.0,0.0,0.0,0.0,12.96,2.07,0.0,2020-01-06 20:30:00+00:00
20200106:2130,0.0,0.0,0.0,0.0,12.61,2.0,0.0,2020-01-06 21:30:00+00:00
20200106:2230,0.0,0.0,0.0,0.0,12.3,1.93,0.0,2020-01-06 22:30:00+00:00
20200106:2330,0.0,0.0,0.0,0.0,11.98,1.79,0.0,2020-01-06 23:30:00+00:00
20200107:0030,0.0,0.0,0.0,-4.71,11.62,1.72,0.0,2020-01-07 00:30:00+00:00
20200107:0130,49.5,40.15,0.0,7.78,11.3,1.79,0.0,2020-01-07 01:30:00+00:00
20200107:0230,195.11,83.05,0.0,19.47,13.0,1.1,0.0,2020-01-07 02:30:00+00:00
20200107:0330,357.51,105.35,0.0,29.9,16.73,1.1,0.0,2020-01-07 03:30:00+00:00
20200107:0430,486.41,118.65,0.0,38.28,18.9,1.59,0.0,2020-01-07 04:30:00+00:00
20200107:0530,561.46,125.45,0.0,43.48,20.27,2.34,0.0,2020-01-07 05:30:00+00:00
20200107:0630,561.16,131.95,0.0,44.41,21.22,2.76,0.0,2020-01-07 06:30:00+00:00
20200107:0730,512.61,124.05,0.0,40.81,21.76,2.76,0.0,2020-01-07 07:30:00+00:00
20200107:0830,383.91,121.1,0.0,33.55,22.27,2.9,0.0,2020-01-07 08:30:00+00:00
20200107:0930,245.41,95.3,0.0,23.83,22.33,2.76,0.0,2020-01-07 09:30:00+00:00
20200107:1030,92.8,59.6,0.0,12.57,22.06,2.41,0.0,2020-01-07 10:30:00+00:00
20200107:1130,0.0,9.3,0.0,0.37,21.12,1.59,0.0,2020-01-07 11:30:00+00:00
20200107:1230,0.0,0.0,0.0,0.0,19.69,1.86,0.0,2020-01-07 12:30:00+00:00
20200107:1330,0.0,0.0,0.0,0.0,18.21,1.86,0.0,2020-01-07 13:30:00+00:00
20200107:1430,0.0,0.0,0.0,0.0,17.05,1.86,0.0,2020-01-07 14:30:00+00:00
20200107:1530,0.0,0.0,0.0,0.0,16.08,1.72,0.0,2020-01-07 15:30:00+00:00
20200107:1630,0.0,0.0,0.0,0.0,15.17,1.66,0.0,2020-01-07 16:30:00+00:00
20200107:1730,0.0,0.0,0.0,0.0,14.35,1.66,0.0,2020-01-07 17:30:00+00:00
20200107:1830,0.0,0.0,0.0,0.0,13.69,1.66,0.0,2020-01-07 18:30:00+00:00
20200107:1930,0.0,0.0,0.0,0.0,13.15,1.59,0.0,2020-01-07 19:30:00+00:00
20200107:2030,0.0,0.0,0.0,0.0,12.77,1.66,0.0,2020-01-07 20:30:00+00:00
20200107:2130,0.0,0.0,0.0,0.0,12.46,1.66,0.0,2020-01-07 21:30:00+00:00
20200107:2230,0.0,0.0,0.0,0.0,12.18,1.66,0.0,2020-01-07 22:30:00+00:00
20200107:2330,0.0,0.0,0.0,0.0,11.96,1.59,0.0,2020-01-07 23:30:00+00:00
20200108:0030,0.0,0.0,0.0,-4.74,11.84,1.45,0.0,2020-01-08 00:30:00+00:00
20200108:0130,44.2,42.1,0.0,7.76,11.87,1.38,0.0,2020-01-08 01:30:00+00:00
20200108:0230,185.31,88.45,0.0,19.47,14.17,0.69,0.0,2020-01-08 02:30:00+00:00
20200108:0330,359.16,104.9,0.0,29.92,17.94,0.83,0.0,2020-01-08 03:30:00+00:00
20200108:0430,460.26,132.85,0.0,38.34,20.06,1.45,0.0,2020-01-08 04:30:00+00:00
20200108:0530,552.51,133.45,0.0,43.59,21.37,1.79,0.0,2020-01-08 05:30:00+00:00
20200108:0630,581.11,125.7,0.0,44.55,22.42,1.93,0.0,2020-01-08 06:30:00+00:00
20200108:0730,482.96,142.5,0.0,40.97,23.12,2.0,0.0,2020-01-08 07:30:00+00:00
20200108:0830,357.56,132.8,0.0,33.72,23.49,2.0,0.0,2020-01-08 08:30:00+00:00
20200108:0930,237.11,104.85,0.0,23.99,23.52,2.28,0.0,2020-01-08 09:30:00+00:00
20200108:1030,89.65,63.0,0.0,12.72,23.15,2.28,0.0,2020-01-08 10:30:00+00:00
20200108:1130,0.0,9.05,0.0,0.51,22.16,1.59,0.0,2020-01-08 11:30:00+00:00
20200108:1230,0.0,0.0,0.0,0.0,20.58,2.07,0.0,2020-01-08 12:30:00+00:00
20200108:1330,0.0,0.0,0.0,0.0,19.27,2.0,0.0,2020-01-08 13:30:00+00:00
20200108:1430,0.0,0.0,0.0,0.0,17.99,2.21,0.0,2020-01-08 14:30:00+00:00
20200108:1530,0.0,0.0,0.0,0.0,17.28,2.07,0.0,2020-01-08 15:30:00+00:00
20200108:1630,0.0,0.0,0.0,0.0,16.73,2.0,0.0,2020-01-08 16:30:00+00:00
20200108:1730,0.0,0.0,0.0,0.0,16.38,1.79,0.0,2020-01-08 17:30:00+00:00
20200108:1830,0.0,0.0,0.0,0.0,15.95,1.66,0.0,2020-01-08 18:30:00+00:00
20200108:1930,0.0,0.0,0.0,0.0,15.83,1.31,0.0,2020-01-08 19:30:00+00:00
20200108:2030,0.0,0.0,0.0,0.0,15.69,1.31,0.0,2020-01-08 20:30:00+00:00
20200108:2130,0.0,0.0,0.0,0.0,15.4,1.59,0.0,2020-01-08 21:30:00+00:00
20200108:2230,0.0,0.0,0.0,0.0,15.36,1.79,0.0,2020-01-08 22:30:00+00:00
20200108:2330,0.0,0.0,0.0,0.0,15.17,1.86,0.0,2020-01-08 23:30:00+00:00
20200109:0030,0.0,0.0,0.0,-4.78,15.32,1.79,0.0,2020-01-09 00:30:00+00:00
20200109:0130,13.8,40.05,0.0,7.74,15.42,2.0,0.0,2020-01-09 01:30:00+00:00
20200109:0230,111.2,80.15,0.0,19.48,16.58,1.59,0.0,2020-01-09 02:30:00+00:00
20200109:0330,204.25,110.15,0.0,29.96,18.19,1.79,0.0,2020-01-09 03:30:00+00:00
20200109:0430,305.86,104.75,0.0,38.41,19.53,1.93,0.0,2020-01-09 04:30:00+00:00
20200109:0530,411.01,137.9,0.0,43.7,20.45,1.72,0.0,2020-01-09 05:30:00+00:00
20200109:0630,170.6,204.55,0.0,44.69,21.63,1.31,0.0,2020-01-09 06:30:00+00:00
20200109:0730,189.55,176.1,0.0,41.14,21.11,1.38,0.0,2020-01-09 07:30:00+00:00
20200109:0830,167.2,126.8,0.0,33.88,21.2,0.62,0.0,2020-01-09 08:30:00+00:00
20200109:0930,80.1,121.25,0.0,24.15,21.26,0.83,0.0,2020-01-09 09:30:00+00:00
20200109:1030,38.7,53.05,0.0,12.88,20.96,0.83,0.0,2020-01-09 10:30:00+00:00
20200109:1130,0.0,7.55,0.0,0.65,20.56,1.03,0.0,2020-01-09 11:30:00+00:00
20200109:1230,0.0,0.0,0.0,0.0,19.65,1.52,0.0,2020-01-09 12:30:00+00:00
20200109:1330,0.0,0.0,0.0,0.0,19.02,1.17,0.0,2020-01-09 13:30:00+00:00
20200109:1430,0.0,0.0,0.0,0.0,18.24,0.83,0.0,2020-01-09 14:30:00+00:00
20200109:1530,0.0,0.0,0.0,0.0,17.65,0.76,0.0,2020-01-09 15:30:00+00:00
20200109:1630,0.0,0.0,0.0,0.0,16.89,0.97,0.0,2020-01-09 16:30:00+00:00
20200109:1730,0.0,0.0,0.0,0.0,16.46,0.97,0.0,2020-01-09 17:30:00+00:00
20200109:1830,0.0,0.0,0.0,0.0,16.18,1.31,0.0,2020-01-09 18:30:00+00:00
20200109:1930,0.0,0.0,0.0,0.0,15.88,1.45,0.0,2020-01-09 19:30:00+00:00
20200109:2030,0.0,0.0,0.0,0.0,15.44,1.59,0.0,2020-01-09 20:30:00+00:00
20200109:2130,0.0,0.0,0.0,0.0,15.26,1.52,0.0,2020-01-09 21:30:00+00:00
20200109:2230,0.0,0.0,0.0,0.0,14.97,1.59,0.0,2020-01-09 22:30:00+00:00
20200109:2330,0.0,0.0,0.0,0.0,14.87,1.66,0.0,2020-01-09 23:30:00+00:00
20200110:0030,0.0,0.0,0.0,-4.8,15.24,1.66,0.0,2020-01-10 00:30:00+00:00
20200110:0130,17.85,42.05,0.0,7.73,15.62,1.86,0.0,2020-01-10 01:30:00+00:00
20200110:0230,117.0,93.35,0.0,19.49,16.77,2.0,0.0,2020-01-10 02:30:00+00:00
20200110:0330,232.71,151.25,0.0,30.0,18.13,3.59,0.0,2020-01-10 03:30:00+00:00
20200110:0430,249.7,198.25,0.0,38.49,19.43,3.86,0.0,2020-01-10 04:30:00+00:00
20200110:0530,267.95,196.2,0.0,43.82,20.38,3.66,0.0,2020-01-10 05:30:00+00:00
20200110:0630,53.35,271.15,0.0,44.85,21.23,3.52,0.0,2020-01-10 06:30:00+00:00
20200110:0730,136.4,259.5,0.0,41.31,21.57,3.1,0.0,2020-01-10 07:30:00+00:00
20200110:0830,167.6,161.25,0.0,34.05,21.96,2.97,0.0,2020-01-10 08:30:00+00:00
20200110:0930,152.4,125.3,0.0,24.31,21.97,2.83,0.0,2020-01-10 09:30:00+00:00
20200110:1030,66.85,66.9,0.0,13.03,21.84,2.62,0.0,2020-01-10 10:30:00+00:00
20200110:1130,0.0,9.85,0.0,0.8,20.94,2.0,0.0,2020-01-10 11:30:00+00:00
20200110:1230,0.0,0.0,0.0,0.0,19.25,2.21,0.0,2020-01-10 12:30:00+00:00
20200110:1330,0.0,0.0,0.0,0.0,18.08,2.21,0.0,2020-01-10 13:30:00+00:00
20200110:1430,0.0,0.0,0.0,0.0,16.99,2.34,0.0,2020-01-10 14:30:00+00:00
20200110:1530,0.0,0.0,0.0,0.0,16.08,2.48,0.0,2020-01-10 15:30:00+00:00
20200110:1630,0.0,0.0,0.0,0.0,15.27,2.55,0.0,2020-01-10 16:30:00+00:00
20200110:1730,0.0,0.0,0.0,0.0,14.71,2.62,0.0,2020-01-10 17:30:00+00:00
20200110:1830,0.0,0.0,0.0,0.0,14.17,2.62,0.0,2020-01-10 18:30:00+00:00
20200110:1930,0.0,0.0,0.0,0.0,13.82,2.76,0.0,2020-01-10 19:30:00+00:00
20200110:2030,0.0,0.0,0.0,0.0,13.43,2.62,0.0,2020-01-10 20:30:00+00:00
20200110:2130,0.0,0.0,0.0,0.0,12.84,2.41,0.0,2020-01-10 21:30:00+00:00
20200110:2230,0.0,0.0,0.0,0.0,12.38,2.34,0.0,2020-01-10 22:30:00+00:00
20200110:2330,0.0,0.0,0.0,0.0,12.29,2.21,0.0,2020-01-10 23:30:00+00:00
20200111:0030,0.0,0.0,0.0,-4.83,11.79,2.34,0.0,2020-01-11 00:30:00+00:00
20200111:0130,52.6,41.0,0.0,7.72,11.51,2.41,0.0,2020-01-11 01:30:00+00:00
20200111:0230,192.41,84.65,0.0,19.5,13.1,2.28,0.0,2020-01-11 02:30:00+00:00
20200111:0330,342.11,118.65,0.0,30.05,15.5,3.1,0.0,2020-01-11 03:30:00+00:00
20200111:0430,416.91,154.85,0.0,38.57,17.29,3.17,0.0,2020-01-11 04:30:00+00:00
20200111:0530,454.06,183.15,0.0,43.94,18.83,3.52,0.0,2020-01-11 05:30:00+00:00
20200111:0630,187.15,294.55,0.0,45.01,19.79,3.17,0.0,2020-01-11 06:30:00+00:00
20200111:0730,229.05,251.45,0.0,41.48,19.66,3.17,0.0,2020-01-11 07:30:00+00:00
20200111:0830,162.25,209.8,0.0,34.23,19.95,3.17,0.0,2020-01-11 08:30:00+00:00
20200111:0930,106.7,154.0,0.0,24.48,19.94,3.17,0.0,2020-01-11 09:30:00+00:00
20200111:1030,55.05,79.15,0.0,13.19,19.72,3.17,0.0,2020-01-11 10:30:00+00:00
20200111:1130,0.0,10.35,0.0,0.94,19.23,2.55,0.0,2020-01-11 11:30:00+00:00
20200111:1230,0.0,0.0,0.0,0.0,17.91,2.14,0.0,2020-01-11 12:30:00+00:00
20200111:1330,0.0,0.0,0.0,0.0,17.03,2.07,0.0,2020-01-11 13:30:00+00:00
20200111:1430,0.0,0.0,0.0,0.0,16.14,2.21,0.0,2020-01-11 14:30:00+00:00
20200111:1530,0.0,0.0,0.0,0.0,15.75,2.14,0.0,2020-01-11 15:30:00+00:00
20200111:1630,0.0,0.0,0.0,0.0,15.27,2.21,0.0,2020-01-11 16:30:00+00:00
20200111:1730,0.0,0.0,0.0,0.0,15.15,2.14,0.0,2020-01-11 17:30:00+00:00
20200111:1830,0.0,0.0,0.0,0.0,14.43,2.21,0.0,2020-01-11 18:30:00+00:00
20200111:1930,0.0,0.0,0.0,0.0,13.55,2.62,0.0,2020-01-11 19:30:00+00:00
20200111:2030,0.0,0.0,0.0,0.0,13.2,2.62,0.0,2020-01-11 20:30:00+00:00
20200111:2130,0.0,0.0,0.0,0.0,12.82,2.69,0.0,2020-01-11 21:30:00+00:00
20200111:2230,0.0,0.0,0.0,0.0,12.47,2.55,0.0,2020-01-11 22:30:00+00:00
20200111:2330,0.0,0.0,0.0,0.0,12.13,2.41,0.0,2020-01-11 23:30:00+00:00
20200112:0030,0.0,0.0,0.0,-4.85,11.82,2.28,0.0,2020-01-12 00:30:00+00:00
20200112:0130,50.45,40.6,0.0,7.72,11.51,2.14,0.0,2020-01-12 01:30:00+00:00
20200112:0230,199.71,84.8,0.0,19.53,12.69,1.86,0.0,2020-01-12 02:30:00+00:00
20200112:0330,366.66,108.0,0.0,30.1,15.38,2.41,0.0,2020-01-12 03:30:00+00:00
